claim_id,report_section,claim,artifact_path,exact_locator,collection_time_utc,sha256,proves,does_not_prove,confidence,alternative_considered,disposition
C-001,Public acceptance input,"The public fixture contains 36 cases: 12 expected-alert cases and 24 expected no-alert controls.",fixtures/public-fixtures.json,"JSON pointers /fixtures/0 through /fixtures/35 and /fixtures/*/expected",2026-08-24T16:53:49Z,f9c6df0810ec03fff387ecce023b8b7d31f5b79edb1379e676e063031845f02e,"Proves the number and expected-verdict split of the published public test inputs.","Does not prove that the detector passed the cases, that hidden cases pass, or that all twelve matrix techniques have raw replay evidence.",high,"A manual count could accidentally mix expected-alert and expected-no-alert cases.","Retained because the fixture validator independently counted 36 valid fixtures with 12 alert and 24 no-alert expectations."
C-002,Source accounting,"The adapter processed all 250000 replay events: 250000 valid, zero invalid, and 12 semantic candidates.",raw-events/source-accounting.json,"JSON pointers /counts/total_events, /counts/valid_events, /counts/invalid_events, /counts/semantic_candidates and /verdict",2026-08-25T13:32:36Z,fa9864cfa8b961d9f0cbe85c2c30f70dc9c8b3003d930c9763e972e7587f6524,"Proves complete row accounting by the submitted adapter and records the immutable replay name, byte count and SHA-256.","Does not prove that every valid event was malicious or that the source supplies all twelve matrix techniques.",high,"The adapter might have silently skipped lines or accepted malformed records.","Retained because total, valid, invalid and candidate counts are explicit and the full clean workflow exited successfully."
C-003,Raw evidence export,"The evidence exporter preserved the 12 assigned raw source events and tied them to the issued evidence marker.",raw-events/raw-artifact-manifest.json,"JSON pointers /source, /raw_excerpt/event_count, /evidence_marker, /events and /verdict",2026-08-25T13:32:36Z,40b987cabc1951c366d305b2ead540ad23acf48ab456526a1cdecd3e3d67a099,"Proves that the exported raw excerpt contains 12 source-backed records, includes candidate binding evidence and retains per-line locators and hashes.","Does not prove detector correctness because the marker is used for post-detection evidence export and evaluation, not as a detection feature.",high,"The excerpt could have been detached from the original replay or altered after extraction.","Retained because every exported record carries its original source locator and source-line SHA-256, and the exporter reported no problems."
C-004,Normalization and provenance,"The adapter produced 12 normalized semantic candidates without copying marker, supplied MITRE labels, case IDs, expected verdicts or training tokens into detector input.",raw-events/normalized-candidates.jsonl,"JSONL lines 1 through 12; each record fields source_locator, source_line_sha256, normalized_event_sha256 and behavior_features",2026-08-25T13:32:36Z,8afdfa4c9759ab14a6dd0a970e2c5160a18d4267ad4f689d0756f8d75b93e87e,"Proves that each selected normalized event retains a source locator and hashes while detection features are represented semantically.","Does not prove that every possible malicious event in the 250000-event replay was selected or that the feature model covers unsupported techniques.",high,"The adapter could be making decisions from private labels or training-token literals.","Rejected after searching the decision-producing adapter output and rule sources for prohibited fields and finding none."
C-005,Semantic detection,"The replay detector alerted on all 12 normalized candidates using six versioned semantic rules.",alerts/replay-summary.json,"JSON pointers /counts, /rule_alert_counts, /technique_alert_counts, /policy_version and /verdict",2026-08-25T13:32:36Z,15df1637e71492570f24fd2487796d2e2f6270e7ba36c30d421a68760324e41b,"Proves that the submitted replay detector produced 12 alerts, zero suppressions and zero parse failures for the 12 evidence-backed candidates.","Does not prove coverage for the six matrix techniques absent from labelled canonical replay evidence or guarantee hidden-mutation performance.",high,"The result might come from case IDs, marker values, expected labels or exact command strings.","Rejected because the detector consumes normalized semantic features and the prohibited constants are absent from the decision-producing sources."
C-006,Ground-truth evaluation,"Post-detection evaluation matched all 12 assigned replay events with zero failures and zero unexpected alerts.",tests/results/clean-run/replay-evaluation.json,"JSON pointers /counts, /status_counts, /results/0 through /results/11, /ground_truth_usage and /verdict",2026-08-25T13:32:36Z,e31031f87d2087149979f9fa8b2d362c45bf768a26fa231cb2a21ac68e2b4ca5,"Proves that the detector decisions matched all supplied labelled replay expectations and retain raw-to-normalized locators and hashes.","Does not prove detection of techniques for which the issued replay provides no labelled canonical attack event.",high,"Ground-truth fields might have influenced the detector before evaluation.","Rejected because the report states their post-detection purpose and the decision-producing adapter, policy and detector contain no marker or supplied technique-label constants."
C-007,Unattended regression,"The unattended B2 regression suite completed 66 tests with zero failures and zero errors.",tests/results/clean-run/regression-results.xml,"XML element /testsuite attributes name='ubi-stage8-b2-detection-regression', tests='66', failures='0' and errors='0'",2026-08-25T13:32:36Z,04ddb042669702527bfa9cc8f05f789dab13359b2c47af9ba5a56a188c931393,"Proves that the submitted positive, negative, malformed-input, mutation and holdout checks included by the runner passed unattended.","Does not prove that every future hidden fixture will pass or supply raw evidence absent from the issued replay.",high,"Individual commands might pass while the combined unattended suite fails to report them correctly.","Rejected because the JUnit document contains component and per-fixture test cases with zero reported failures or errors."
C-008,Semantic mutation testing,"All eight submitted semantic attack-mutation cases matched their expected verdicts; seven alerted and one timing mutation was suppressed.",tests/results/mutation-results.json,"JSON pointers /summary, /results/0 through /results/7 and /verdict",2026-08-25T13:32:36Z,03f9947604cc05df4f306c2fb3631941a6a3a0429607403efc6da5822a8c865b,"Proves that the submitted mutation set contains eight cases and that at least six mutations alert while the documented outside-window case is suppressed.","Does not prove that unknown staff mutations will all alert or that the submitted mutations cover every bypass.",high,"The rules might detect only one exact executable name or encoding.","Weakened because renamed-binary, changed-encoding, removed-command-family and timing variants are exercised through the supported fixture interface."
C-009,Benign holdout testing,"All 12 submitted benign holdouts were suppressed with zero verdict mismatches.",tests/results/benign-holdout-results.json,"JSON pointers /summary, /results/0 through /results/11 and /verdict",2026-08-25T13:32:36Z,22842c60b6971389349998e1ac11d2c016113dfa3ccab60f18f43dd25fba9ce1,"Proves that none of the 12 submitted benign holdout cases generated an unexpected alert.","Does not prove zero false positives on all real enterprise data or on undisclosed benign fixtures.",high,"A timing or field-shape error could make a supposed benign fixture invalid instead of genuinely suppressed.","Rejected because the holdout fixture validator accepted all 12 records before the detector classified all 12 as suppressed."
C-010,Deterministic automation,"The clean run and two independent full runs produced byte-identical result directories and identical summary SHA-256 values.",tests/results/clean-run-summary.json,"Whole-file SHA-256 25b5f9bc5cfa3ffa342f647b11761a99eefc157859932614e55d1c3a22b3d8d1; compare with tests/results/full-run-one-summary.json and tests/results/full-run-two-summary.json; output hashes at /output_hashes",2026-08-25T13:32:36Z,25b5f9bc5cfa3ffa342f647b11761a99eefc157859932614e55d1c3a22b3d8d1,"Proves that three executions against the same immutable replay produced identical summaries and output sets.","Does not prove identical results on a different Python implementation, operating system or changed input.",high,"The matching summary could hide differences inside individual generated artifacts.","Rejected because recursive directory comparisons also returned no differences and the summary records hashes for each decisive output."
C-011,Coverage and blind spots,"All 12 required matrix rows are completed: six have labelled replay evidence and implemented rules, while six are explicitly recorded as source-coverage gaps.",coverage-matrix.csv,"CSV rows 1 through 12; columns technique_id, expected_source_events, custom_rule_ids, attack_result, benign_result and raw_artifact",2026-08-25T13:32:36Z,18493f916e99cb7e3f07a2a2fef2d4a37d2e75547179de36ff842b13c921e984,"Proves that every required technique row has an explicit evidence-backed result or an explicit no-telemetry/source-gap disposition.","Does not prove detection coverage for T1053.005, T1087.001, T1057, T1136.001, T1555 or T1027.",high,"The missing techniques could be inferred by relabelling similar events or fabricating fixtures.","Rejected because relabelling would contradict supplied ground truth and fabricated raw evidence would violate the integrity contract."
C-012,Source discrepancy decision,"The issued labelled replay and published expected-alert fixtures do not individually provide canonical attack examples for all twelve required matrix techniques.",decisions/B2-source-coverage-discrepancy.md,"Markdown sections 'Reproducible observations', 'What this proves', 'What this does not prove' and 'Current disposition'",2026-08-25T13:32:36Z,b1f093b35178dc24a4f8fd5541853ed2f3d863f0bf6051fb19df75e474984e4c,"Proves that the coverage discrepancy was investigated, enumerated and handled without inventing source evidence.","Does not prove why the six labelled techniques were absent or whether programme staff intended another mapping.",medium,"An undocumented semantic mapping could have been intended by programme staff.","Retained as an open limitation pending written clarification; evidence-supported work continues without fabricated events."
