row,attack_tactic,technique_id,technique_name,assigned_atomic_guid,test_host,expected_source_events,custom_rule_ids,benign_control,attack_result,benign_result,cleanup_result,raw_artifact
1,Execution,T1059.001,PowerShell,N/A - B2 portable replay,Portable signed Windows replay,"Two labelled source events at windows-replay.jsonl lines 19231 and 134611; normalized candidates 1 and 7",UBI-A8-1001 v1.0.0,"Published benign controls and twelve benign holdouts; harmless or incomplete semantic near-matches must remain suppressed","alerted: 2 of 2 supplied labelled replay events matched encoded_or_obfuscated_behavior","pass: published suite produced 24 suppressed controls and benign holdout suite produced 12 suppressed controls","N/A: immutable replay processing performs no endpoint change","raw-events/assigned-source-events.jsonl; source lines 19231 and 134611; tests/results/clean-run/replay-evaluation.json"
2,Persistence,T1053.005,Scheduled Task or Job: Scheduled Task,N/A - B2 portable replay,Portable signed Windows replay,"No labelled T1053.005 canonical attack event exists in the issued replay",Not implemented - source coverage gap,"No technique-specific canonical attack/benign pair can be claimed from the supplied labelled source","no_telemetry: supplied replay contains no labelled T1053.005 attack event","No unexpected alert was produced; this does not prove technique-specific detection coverage","N/A: immutable replay processing performs no endpoint change","decisions/B2-source-coverage-discrepancy.md; raw-events/source-accounting.json"
3,Persistence,T1547.001,Registry Run Keys or Startup Folder,N/A - B2 portable replay,Portable signed Windows replay,"Two labelled source events at windows-replay.jsonl lines 96151 and 211531; normalized candidates 5 and 11",UBI-A8-1003 v1.0.0,"Published benign controls and twelve benign holdouts; unrelated registry or process activity must remain suppressed","alerted: 2 of 2 supplied labelled replay events matched registry_persistence_behavior","pass: published suite produced 24 suppressed controls and benign holdout suite produced 12 suppressed controls","N/A: immutable replay processing performs no endpoint change","raw-events/assigned-source-events.jsonl; source lines 96151 and 211531; tests/results/clean-run/replay-evaluation.json"
4,Credential Access,T1003.001,OS Credential Dumping: LSASS Memory,N/A - B2 portable replay,Portable signed Windows replay,"Two labelled source events at windows-replay.jsonl lines 115381 and 230761; normalized candidates 6 and 12",UBI-A8-1004 v1.0.0,"Published benign controls and twelve benign holdouts; incomplete credential-access near-matches must remain suppressed","alerted: 2 of 2 supplied labelled replay events matched credential_access_behavior","pass: published suite produced 24 suppressed controls and benign holdout suite produced 12 suppressed controls","N/A: immutable replay processing performs no endpoint change","raw-events/assigned-source-events.jsonl; source lines 115381 and 230761; tests/results/clean-run/replay-evaluation.json"
5,Discovery,T1087.001,Account Discovery: Local Account,N/A - B2 portable replay,Portable signed Windows replay,"No labelled T1087.001 canonical attack event exists in the issued replay",Not implemented - source coverage gap,"No technique-specific canonical attack/benign pair can be claimed from the supplied labelled source","no_telemetry: supplied replay contains no labelled T1087.001 attack event","No unexpected alert was produced; this does not prove technique-specific detection coverage","N/A: immutable replay processing performs no endpoint change","decisions/B2-source-coverage-discrepancy.md; raw-events/source-accounting.json"
6,Discovery,T1057,Process Discovery,N/A - B2 portable replay,Portable signed Windows replay,"No labelled T1057 canonical attack event exists in the issued replay; T1057 appears only among published no-alert fixtures",Not implemented - source coverage gap,"Published T1057 no-alert fixtures are retained as benign controls but cannot substitute for a canonical attack","no_telemetry: supplied replay contains no labelled T1057 attack event","suppressed for the published T1057 no-alert fixtures; this does not establish attack detection coverage","N/A: immutable replay processing performs no endpoint change","decisions/B2-source-coverage-discrepancy.md; fixtures/public-fixtures.json; tests/results/public-detection-results.json"
7,Command and Control,T1105,Ingress Tool Transfer,N/A - B2 portable replay,Portable signed Windows replay,"Two labelled source events at windows-replay.jsonl lines 76921 and 192301; normalized candidates 4 and 10",UBI-A8-1002 v1.0.0,"Published benign controls and twelve benign holdouts; incomplete transfer-like activity must remain suppressed","alerted: 2 of 2 supplied labelled replay events matched ingress_transfer_behavior","pass: published suite produced 24 suppressed controls and benign holdout suite produced 12 suppressed controls","N/A: immutable replay processing performs no endpoint change","raw-events/assigned-source-events.jsonl; source lines 76921 and 192301; tests/results/clean-run/replay-evaluation.json"
8,Defense Evasion,T1218.011,System Binary Proxy Execution: Rundll32,N/A - B2 portable replay,Portable signed Windows replay,"Two labelled source events at windows-replay.jsonl lines 57691 and 173071; normalized candidates 3 and 9",UBI-A8-1006 v1.0.0,"Published benign controls and twelve benign holdouts; ordinary signed-binary activity without the required relationship must remain suppressed","alerted: 2 of 2 supplied labelled replay events matched service_proxy_execution_relationship","pass: published suite produced 24 suppressed controls and benign holdout suite produced 12 suppressed controls","N/A: immutable replay processing performs no endpoint change","raw-events/assigned-source-events.jsonl; source lines 57691 and 173071; tests/results/clean-run/replay-evaluation.json"
9,Execution,T1059.003,Windows Command Shell,N/A - B2 portable replay,Portable signed Windows replay,"Two labelled source events at windows-replay.jsonl lines 38461 and 153841; normalized candidates 2 and 8",UBI-A8-1005 v1.0.0,"Published benign controls and twelve benign holdouts; ordinary command shells without the required parent relationship must remain suppressed","alerted: 2 of 2 supplied labelled replay events matched remote_shell_parent_relationship","pass: published suite produced 24 suppressed controls and benign holdout suite produced 12 suppressed controls","N/A: immutable replay processing performs no endpoint change","raw-events/assigned-source-events.jsonl; source lines 38461 and 153841; tests/results/clean-run/replay-evaluation.json"
10,Persistence,T1136.001,Create Account: Local Account,N/A - B2 portable replay,Portable signed Windows replay,"No labelled T1136.001 canonical attack event exists in the issued replay",Not implemented - source coverage gap,"No technique-specific canonical attack/benign pair can be claimed from the supplied labelled source","no_telemetry: supplied replay contains no labelled T1136.001 attack event","No unexpected alert was produced; this does not prove technique-specific detection coverage","N/A: immutable replay processing performs no endpoint change","decisions/B2-source-coverage-discrepancy.md; raw-events/source-accounting.json"
11,Credential Access,T1555,Credentials from Password Stores,N/A - B2 portable replay,Portable signed Windows replay,"No labelled T1555 canonical attack event exists in the issued replay",Not implemented - source coverage gap,"No technique-specific canonical attack/benign pair can be claimed from the supplied labelled source","no_telemetry: supplied replay contains no labelled T1555 attack event","No unexpected alert was produced; this does not prove technique-specific detection coverage","N/A: immutable replay processing performs no endpoint change","decisions/B2-source-coverage-discrepancy.md; raw-events/source-accounting.json"
12,Defense Evasion,T1027,Obfuscated Files or Information,N/A - B2 portable replay,Portable signed Windows replay,"No source event is labelled T1027; encoded behaviour is present but supplied ground truth labels those events T1059.001",Not implemented as T1027 - source coverage gap,"Encoded or obfuscated benign near-matches are tested without changing the supplied technique labels","no_telemetry: no labelled T1027 canonical event exists; the T1059.001 events were not relabelled","Benign controls remained suppressed; this does not prove independent T1027 attack coverage","N/A: immutable replay processing performs no endpoint change","decisions/B2-source-coverage-discrepancy.md; raw-events/source-accounting.json; tests/results/clean-run/replay-evaluation.json"
